Absatzbereich,Sortiment,Artikelhauptgruppe,Artikelgruppe
Fish,Costa,Weichtiere,Muscheln
Fish,Costa,Weichtiere,Sonstige Weichtiere
Fish,Costa,Weichtiere,Sonstige Weichtiere
Fish,Costa,Veredelte Produkte,Fisch im Teig
Fish,Costa,Veredelte Produkte,Fisch im Teig
Fish,Costa,Veredelte Produkte,Mediterrane Fischgerichte
Fish,Costa,Veredelte Produkte,Mediterrane Fischgerichte
Fish,Costa,Veredelte Produkte,Mediterrane Fischgerichte
Fish,Costa,Veredelte Produkte,Mediterrane Fischgerichte
Fish,Costa,Veredelte Produkte,Mediterrane Fischgerichte
Fish,Costa,Veredelte Produkte,Pizzen
Fish,Costa,Veredelte Produkte,Pizzen
Fish,Costa,Veredelte Produkte,Baguettes
Fish,Costa,Veredelte Produkte,Baguettes
Fish,Costa,Veredelte Produkte,Fischsuppen
Fish,Costa,Veredelte Produkte,Fischsuppen
Fish,Costa,Veredelte Produkte,Sonst.veredelte Produkte
Fish,Costa,Veredelte Produkte,Sonst.veredelte Produkte
Fish,Costa,Zweitmarken,Copa
Fish,Costa,Zweitmarken,Copa
Fish,Costa,Zweitmarken,FFT
Fish,Costa,Zweitmarken,FFT
Fish,Costa,Sonstige Costa,Sonst. Werksprodukte
Fish,Costa,Sonstige Costa,Sonst. Werksprodukte
Fish,Costa,Sonstige Costa,Zulieferung Pizza
Fish,Costa,Sonstige Costa,Zulieferung Pizza
Fish,Costa,Sonstige Costa,IQF-Verarbeitung
Fish,Costa,Sonstige Costa,IQF-Verarbeitung
Fish,Costa,Sonstige Costa,Sonstige Costa
Fish,Costa,Sonstige Costa,Sonstige Costa
Fish,Sonstige Fisch,Sonstige Fisch,Sonstiger Fisch
Fish,Sonstige Fisch,Sonstige Fisch,Sonstiger Fisch
Fish,TK Seafood,TK Seafood,frozen fish narual
Fish,TK Seafood,TK Seafood,frozen fish narual
Fish,TK Seafood,TK Seafood,frozen fish crumbed
Fish,TK Seafood,TK Seafood,frozen fish crumbed
Fish,TK Seafood,TK Seafood,Frozen fish in filo dough
Fish,TK Seafood,TK Seafood,Frozen fish in filo dough
Fish,TK Seafood,TK Seafood,Frozen fingerfood
Fish,TK Seafood,TK Seafood,Frozen fingerfood
Ice Cream,Ice Cream,Ice Cream,Other Ice Cream
Ice Cream,Ice Cream,Ice Cream,Other Ice Cream
Chilled,Chilled Desserts,Milk based 'Pudding',Creme based 'Pudding' Dessert Single Pot
Chilled,Chilled Desserts,Milk based 'Pudding',Creme based 'Pudding' Dessert Single Pot
Chilled,Chilled Desserts,Milk based 'Pudding',Creme based / semolina 'Pudding'
Chilled,Chilled Desserts,Milk based 'Pudding',Creme based / semolina 'Pudding'
Chilled,Chilled Desserts,Milk based 'Pudding',Creme based / semolina 'Pudding'
Chilled,Chilled Desserts,Milk based 'Pudding',Creme based / semolina 'Pudding'
Chilled,Chilled Desserts,Milk based 'Pudding',Creme based 'Pudding' Dessert Big Pot
Chilled,Chilled Desserts,Milk based 'Pudding',Creme based 'Pudding' Dessert Big Pot
Chilled,Chilled Desserts,Milk based 'Pudding','Pudding' Drink
Chilled,Chilled Desserts,Milk based 'Pudding','Pudding' Drink
Chilled,Chilled Desserts,Milk based 'Pudding',Milk based 'Pudding'
Chilled,Chilled Desserts,Milk based 'Pudding',Milk based 'Pudding'
Chilled,Chilled Desserts,Milk based 'Pudding',Milk based 'Pudding'
Chilled,Chilled Desserts,Milk based 'Pudding',Milk based 'Pudding'
Chilled,Chilled Desserts,Milk based 'Pudding',Milk based 'Pudding'
Chilled,Chilled Desserts,Milk based 'Pudding',Milk based 'Pudding'
Chilled,Chilled Desserts,Milk based 'Pudding',Milked based pudding with cream
Chilled,Chilled Desserts,Milk based 'Pudding',Milked based pudding with cream
Chilled,Chilled Desserts,Milk based 'Pudding',Milked based pudding with cream
Chilled,Chilled Desserts,Milk based 'Pudding',Milked based pudding with cream
Chilled,Chilled Desserts,Milk based 'Pudding',Pudding' light
Chilled,Chilled Desserts,Milk based 'Pudding',Pudding' light
Chilled,Chilled Desserts,Milk based 'Pudding',Semolina 'Pudding' Single Pot
Chilled,Chilled Desserts,Milk based 'Pudding',Semolina 'Pudding' Single Pot
Chilled,Chilled Desserts,Milk based 'Pudding',Rice Pudding Single Pot
Chilled,Chilled Desserts,Milk based 'Pudding',Rice Pudding Single Pot
Chilled,Chilled Desserts,Milk based 'Pudding',Children's desserts
Chilled,Chilled Desserts,Milk based 'Pudding',Children's desserts
Chilled,Chilled Desserts,Milk based 'Pudding',Children's desserts
Chilled,Chilled Desserts,Milk based 'Pudding',Children's desserts
Chilled,Chilled Desserts,Milk based 'Pudding',Children's desserts
Chilled,Chilled Desserts,Milk based 'Pudding',Children's desserts
Chilled,Chilled Desserts,Milk based 'Pudding',Children's desserts
Chilled,Chilled Desserts,Milk based 'Pudding',Children's desserts
Chilled,Chilled Desserts,Milk based 'Pudding',Children's desserts
Chilled,Chilled Desserts,Milk based 'Pudding',Children's desserts
Chilled,Chilled Desserts,Milk based 'Pudding',Children's desserts
Chilled,Chilled Desserts,Milk based 'Pudding',Children's desserts
Chilled,Chilled Desserts,Milk based 'Pudding',Children's desserts
